一	一 𽀀
弌	弌 𽀁
元	元 𽀂
天	天 𽀃
丕	丕 𽀄
吏	吏 𽀅
叓	叓 𽀅
丄	丄 𽀆
𠄞	𠄞 𽀇
上	上 𽀈
帝	帝 𽀉
𢂇	𢂇 𽀊
旁	旁 𽀋
㫄	㫄 𽀋
𣃟	𣃟 𽀌
𣃙	𣃙 𽀍
雱	雱 𽀎
丅	丅 𽀏
𠄟	𠄟 𽀐
下	下 𽀑
示	示 𽀒
𥘅	𥘅 𽀓
祜	祜 𽀔
禮	禮 𽀕
𠃞	𠃞 𽀖
禧	禧 𽀗
禛	禛 𽀘
禄	禄 𽀙
祿	祿 𽀙
禠	禠 𽀚
禎	禎 𽀛
祥	祥 𽀜
祉	祉 𽀝
福	福 𽀞
祐	祐 𽀟
祺	祺 𽀠
禥	禥 𽀡
祗	祗 𽀢
禔	禔 𽀣
𥛃	𥛃 𽀤
神	神 𽀥
𥚞	𥚞 𽀥
祇	祇 𽀦
秘	秘 𽀧
祕	祕 𽀧
齋	齋 𽀨
𥚪	𥚪 𽀨
𪗓	𪗓 𽀩
𥜷	𥜷 𽀩
𥛿	𥛿 𽀪
禋	禋 𽀪 𽀬
𡫚	𡫚 𽀫
𡫻	𡫻 𽀫
祭	祭 𽀭
祀	祀 𽀮
禩	禩 𽀯
祡	祡 𽀰
𥚨	𥚨 𽀱
禷	禷 𽀲
祪	祪 𽀳
祔	祔 𽀴
祖	祖 𽀵
𥛱	𥛱 𽀶
祊	祊 𽀷
祰	祰 𽀸
祏	祏 𽀹
䃾	䃾 𽀺
祠	祠 𽀻
礿	礿 𽀼
禘	禘 𽀽
祫	祫 𽀾
祼	祼 𽀿
䄟	䄟 𽁀
祝	祝 𽁁
𥛅	𥛅 𽁂
𥛽	𥛽 𽁂
祓	祓 𽁃
祈	祈 𽁄
禱	禱 𽁅
𥙸	𥙸 𽁆
𥜹	𥜹 𽁇
禜	禜 𽁈
禳	禳 𽁉
禬	禬 𽁊
禪	禪 𽁋
禦	禦 𽁌
䄆	䄆 𽁍
